Num   theta     phi         ul          ul_err   
  0   0.102    0.785   4.985556e-15  5.937060e-16
  1   0.102    2.356   5.308632e-15  2.967936e-16
  2   0.102    3.927   4.196662e-15  2.131695e-16
  3   0.102    5.498   3.696374e-15  1.641617e-16
  4   0.204    0.393   4.654064e-15  3.595099e-16
  5   0.204    1.178   5.571741e-15  1.895578e-16
  6   0.204    1.963   4.990576e-15  3.594810e-16
  7   0.204    2.749   5.609950e-15  2.827272e-16
  8   0.204    3.534   4.085011e-15  2.866815e-16
  9   0.204    4.320   4.208037e-15  2.132857e-16
 10   0.204    5.105   3.904990e-15  2.473713e-16
 11   0.204    5.890   4.035819e-15  2.598692e-16
 12   0.307    0.262   4.752358e-15  3.107620e-16
 13   0.307    0.785   5.326579e-15  4.128285e-16
 14   0.307    1.309   5.826045e-15  3.988424e-16
 15   0.307    1.833   6.042524e-15  5.151633e-16
 16   0.307    2.356   5.531336e-15  4.107034e-16
 17   0.307    2.880   4.679945e-15  3.093368e-16
 18   0.307    3.403   3.786322e-15  2.362069e-16
 19   0.307    3.927   3.523473e-15  1.502323e-16
 20   0.307    4.451   3.915378e-15  1.806895e-16
 21   0.307    4.974   3.603057e-15  2.386334e-16
 22   0.307    5.498   3.879060e-15  5.720773e-16
 23   0.307    6.021   3.972065e-15  2.281943e-16
 24   0.411    0.196   5.040647e-15  3.761016e-16
 25   0.411    0.589   5.336094e-15  9.460614e-16
 26   0.411    0.982   5.396720e-15  1.973423e-16
 27   0.411    1.374   7.088967e-15  1.128946e-15
 28   0.411    1.767   5.907531e-15  2.951508e-16
 29   0.411    2.160   7.050133e-15  8.190881e-16
 30   0.411    2.553   5.271415e-15  4.025079e-16
 31   0.411    2.945   4.837221e-15  2.166027e-16
 32   0.411    3.338   3.881315e-15  3.769202e-16
 33   0.411    3.731   3.973558e-15  2.675612e-16
 34   0.411    4.123   4.116948e-15  3.351066e-16
 35   0.411    4.516   3.821290e-15  2.200376e-16
 36   0.411    4.909   3.552468e-15  3.410523e-16
 37   0.411    5.301   3.816255e-15  1.995186e-16
 38   0.411    5.694   3.810364e-15  9.557054e-17
 39   0.411    6.087   4.749504e-15  2.740121e-16
 40   0.516    0.157   4.392182e-15  1.201985e-16
 41   0.516    0.471   5.803861e-15  6.922285e-16
 42   0.516    0.785   6.067637e-15  6.132967e-16
 43   0.516    1.100   6.196773e-15  4.008506e-16
 44   0.516    1.414   8.203511e-15  9.272570e-16
 45   0.516    1.728   6.483666e-15  3.460348e-16
 46   0.516    2.042   6.847365e-15  4.517028e-16
 47   0.516    2.356   5.678503e-15  3.978183e-16
 48   0.516    2.670   4.718468e-15  1.964447e-16
 49   0.516    2.985   4.336485e-15  2.469029e-16
 50   0.516    3.299   3.907488e-15  2.280995e-16
 51   0.516    3.613   3.832977e-15  2.473987e-16
 52   0.516    3.927   3.293308e-15  2.130961e-16
 53   0.516    4.241   3.363194e-15  1.759163e-16
 54   0.516    4.555   3.149951e-15  8.628164e-17
 55   0.516    4.869   2.789966e-15  2.168903e-16
 56   0.516    5.184   3.387615e-15  1.609724e-16
 57   0.516    5.498   3.518231e-15  1.883777e-16
 58   0.516    5.812   3.740748e-15  1.125190e-16
 59   0.516    6.126   4.144577e-15  3.002770e-16
 60   0.622    0.131   4.435343e-15  1.763905e-16
 61   0.622    0.393   5.480176e-15  4.429368e-16
 62   0.622    0.654   5.404478e-15  2.320985e-16
 63   0.622    0.916   7.447232e-15  4.958554e-16
 64   0.622    1.178   7.411214e-15  4.264007e-16
 65   0.622    1.440   7.762488e-15  4.936368e-16
 66   0.622    1.702   7.193932e-15  4.230111e-16
 67   0.622    1.963   7.322010e-15  4.212095e-16
 68   0.622    2.225   6.007466e-15  3.037706e-16
 69   0.622    2.487   5.567805e-15  2.117087e-16
 70   0.622    2.749   5.426089e-15  2.129287e-16
 71   0.622    3.011   4.178463e-15  1.595003e-16
 72   0.622    3.272   3.924481e-15  8.741740e-17
 73   0.622    3.534   3.303878e-15  1.906148e-16
 74   0.622    3.796   3.922213e-15  1.864444e-16
 75   0.622    4.058   3.165664e-15  1.507305e-16
 76   0.622    4.320   2.704766e-15  1.593798e-16
 77   0.622    4.581   2.976125e-15  1.261839e-16
 78   0.622    4.843   2.874783e-15  1.304847e-16
 79   0.622    5.105   3.068635e-15  5.008263e-16
 80   0.622    5.367   3.284786e-15  1.746561e-16
 81   0.622    5.629   3.191237e-15  8.786856e-17
 82   0.622    5.890   3.267654e-15  1.548122e-16
 83   0.622    6.152   3.975736e-15  4.050266e-16
 84   0.731    0.112   4.438088e-15  3.734793e-16
 85   0.731    0.337   4.944147e-15  1.963509e-16
 86   0.731    0.561   6.086704e-15  4.162606e-16
 87   0.731    0.785   6.942820e-15  4.207179e-16
 88   0.731    1.010   6.998220e-15  4.728476e-16
 89   0.731    1.234   8.150905e-15  6.751071e-16
 90   0.731    1.459   9.141984e-15  2.986499e-16
 91   0.731    1.683   8.054063e-15  7.206818e-16
 92   0.731    1.907   8.533932e-15  9.315318e-16
 93   0.731    2.132   6.682539e-15  2.915837e-16
 94   0.731    2.356   5.868344e-15  5.998406e-16
 95   0.731    2.581   5.972663e-15  3.129688e-16
 96   0.731    2.805   4.967883e-15  3.646249e-16
 97   0.731    3.029   4.672261e-15  3.802291e-16
 98   0.731    3.254   3.722778e-15  2.678683e-16
 99   0.731    3.478   3.529189e-15  2.080435e-16
100   0.731    3.703   3.320352e-15  4.434777e-16
101   0.731    3.927   3.327725e-15  1.680079e-16
102   0.731    4.151   2.944739e-15  1.711772e-16
103   0.731    4.376   2.823751e-15  1.994930e-16
104   0.731    4.600   3.131233e-15  1.098666e-16
105   0.731    4.825   2.591704e-15  2.912021e-16
106   0.731    5.049   2.607897e-15  1.713686e-16
107   0.731    5.273   2.860031e-15  1.460550e-16
108   0.731    5.498   3.012347e-15  1.317849e-16
109   0.731    5.722   3.355599e-15  1.019822e-16
