Num   theta   dtheta     phi     dphi  
  0   0.204    0.411    0.785    1.571 
  1   0.204    0.411    2.356    1.571 
  2   0.204    0.411    3.927    1.571 
  3   0.204    0.411    5.498    1.571 
  4   0.411    0.418    0.393    0.785 
  5   0.411    0.418    1.178    0.785 
  6   0.411    0.418    1.963    0.785 
  7   0.411    0.418    2.749    0.785 
  8   0.411    0.418    3.534    0.785 
  9   0.411    0.418    4.320    0.785 
 10   0.411    0.418    5.105    0.785 
 11   0.411    0.418    5.890    0.785 
 12   0.622    0.430    0.262    0.524 
 13   0.622    0.430    0.785    0.524 
 14   0.622    0.430    1.309    0.524 
 15   0.622    0.430    1.833    0.524 
 16   0.622    0.430    2.356    0.524 
 17   0.622    0.430    2.880    0.524 
 18   0.622    0.430    3.403    0.524 
 19   0.622    0.430    3.927    0.524 
 20   0.622    0.430    4.451    0.524 
 21   0.622    0.430    4.974    0.524 
 22   0.622    0.430    5.498    0.524 
 23   0.622    0.430    6.021    0.524 
 24   0.841    0.425    0.196    0.393 
 25   0.841    0.425    0.589    0.393 
 26   0.841    0.425    0.982    0.393 
 27   0.841    0.425    1.374    0.393 
 28   0.841    0.425    1.767    0.393 
 29   0.841    0.425    2.160    0.393 
 30   0.841    0.425    2.553    0.393 
 31   0.841    0.425    2.945    0.393 
 32   0.841    0.425    3.338    0.393 
 33   0.841    0.425    3.731    0.393 
 34   0.841    0.425    4.123    0.393 
 35   0.841    0.425    4.516    0.393 
 36   0.841    0.425    4.909    0.393 
 37   0.841    0.425    5.301    0.393 
 38   0.841    0.425    5.694    0.393 
 39   0.841    0.425    6.087    0.393 
 40   1.047    0.390    0.000    0.393 
 41   1.047    0.390    0.393    0.393 
 42   1.047    0.390    0.785    0.393 
 43   1.047    0.390    1.178    0.393 
 44   1.047    0.390    1.571    0.393 
 45   1.047    0.390    1.963    0.393 
 46   1.047    0.390    2.356    0.393 
 47   1.047    0.390    2.749    0.393 
 48   1.047    0.390    3.142    0.393 
 49   1.047    0.390    3.534    0.393 
 50   1.047    0.390    3.927    0.393 
 51   1.047    0.390    4.320    0.393 
 52   1.047    0.390    4.712    0.393 
 53   1.047    0.390    5.105    0.393 
 54   1.047    0.390    5.498    0.393 
 55   1.047    0.390    5.890    0.393 
 56   1.231    0.356    0.196    0.393 
 57   1.231    0.356    0.589    0.393 
 58   1.231    0.356    0.982    0.393 
 59   1.231    0.356    1.374    0.393 
 60   1.231    0.356    1.767    0.393 
 61   1.231    0.356    2.160    0.393 
 62   1.231    0.356    2.553    0.393 
 63   1.231    0.356    2.945    0.393 
 64   1.231    0.356    3.338    0.393 
 65   1.231    0.356    3.731    0.393 
 66   1.231    0.356    4.123    0.393 
 67   1.231    0.356    4.516    0.393 
 68   1.231    0.356    4.909    0.393 
 69   1.231    0.356    5.301    0.393 
 70   1.231    0.356    5.694    0.393 
 71   1.231    0.356    6.087    0.393 
 72   1.403    0.340    0.000    0.393 
 73   1.403    0.340    0.393    0.393 
 74   1.403    0.340    0.785    0.393 
 75   1.403    0.340    1.178    0.393 
 76   1.403    0.340    1.571    0.393 
 77   1.403    0.340    1.963    0.393 
 78   1.403    0.340    2.356    0.393 
 79   1.403    0.340    2.749    0.393 
 80   1.403    0.340    3.142    0.393 
 81   1.403    0.340    3.534    0.393 
 82   1.403    0.340    3.927    0.393 
 83   1.403    0.340    4.320    0.393 
 84   1.403    0.340    4.712    0.393 
 85   1.403    0.340    5.105    0.393 
 86   1.403    0.340    5.498    0.393 
 87   1.403    0.340    5.890    0.393 
 88   1.571    0.335    0.196    0.393 
 89   1.571    0.335    0.589    0.393 
 90   1.571    0.335    0.982    0.393 
 91   1.571    0.335    1.374    0.393 
 92   1.571    0.335    1.767    0.393 
 93   1.571    0.335    2.160    0.393 
 94   1.571    0.335    2.553    0.393 
 95   1.571    0.335    2.945    0.393 
 96   1.571    0.335    3.338    0.393 
 97   1.571    0.335    3.731    0.393 
 98   1.571    0.335    4.123    0.393 
 99   1.571    0.335    4.516    0.393 
100   1.571    0.335    4.909    0.393 
101   1.571    0.335    5.301    0.393 
102   1.571    0.335    5.694    0.393 
103   1.571    0.335    6.087    0.393 
104   1.738    0.340    0.000    0.393 
105   1.738    0.340    0.393    0.393 
106   1.738    0.340    0.785    0.393 
107   1.738    0.340    1.178    0.393 
108   1.738    0.340    1.571    0.393 
109   1.738    0.340    1.963    0.393 
110   1.738    0.340    2.356    0.393 
111   1.738    0.340    2.749    0.393 
112   1.738    0.340    3.142    0.393 
113   1.738    0.340    3.534    0.393 
114   1.738    0.340    3.927    0.393 
115   1.738    0.340    4.320    0.393 
116   1.738    0.340    4.712    0.393 
117   1.738    0.340    5.105    0.393 
118   1.738    0.340    5.498    0.393 
119   1.738    0.340    5.890    0.393 
120   1.911    0.356    0.196    0.393 
121   1.911    0.356    0.589    0.393 
122   1.911    0.356    0.982    0.393 
123   1.911    0.356    1.374    0.393 
124   1.911    0.356    1.767    0.393 
125   1.911    0.356    2.160    0.393 
126   1.911    0.356    2.553    0.393 
127   1.911    0.356    2.945    0.393 
128   1.911    0.356    3.338    0.393 
129   1.911    0.356    3.731    0.393 
130   1.911    0.356    4.123    0.393 
131   1.911    0.356    4.516    0.393 
132   1.911    0.356    4.909    0.393 
133   1.911    0.356    5.301    0.393 
134   1.911    0.356    5.694    0.393 
135   1.911    0.356    6.087    0.393 
136   2.094    0.390    0.000    0.393 
137   2.094    0.390    0.393    0.393 
138   2.094    0.390    0.785    0.393 
139   2.094    0.390    1.178    0.393 
140   2.094    0.390    1.571    0.393 
141   2.094    0.390    1.963    0.393 
142   2.094    0.390    2.356    0.393 
143   2.094    0.390    2.749    0.393 
144   2.094    0.390    3.142    0.393 
145   2.094    0.390    3.534    0.393 
146   2.094    0.390    3.927    0.393 
147   2.094    0.390    4.320    0.393 
148   2.094    0.390    4.712    0.393 
149   2.094    0.390    5.105    0.393 
150   2.094    0.390    5.498    0.393 
151   2.094    0.390    5.890    0.393 
152   2.301    0.425    0.196    0.393 
153   2.301    0.425    0.589    0.393 
154   2.301    0.425    0.982    0.393 
155   2.301    0.425    1.374    0.393 
156   2.301    0.425    1.767    0.393 
157   2.301    0.425    2.160    0.393 
158   2.301    0.425    2.553    0.393 
159   2.301    0.425    2.945    0.393 
160   2.301    0.425    3.338    0.393 
161   2.301    0.425    3.731    0.393 
162   2.301    0.425    4.123    0.393 
163   2.301    0.425    4.516    0.393 
164   2.301    0.425    4.909    0.393 
165   2.301    0.425    5.301    0.393 
166   2.301    0.425    5.694    0.393 
167   2.301    0.425    6.087    0.393 
168   2.519    0.430    0.262    0.524 
169   2.519    0.430    0.785    0.524 
170   2.519    0.430    1.309    0.524 
171   2.519    0.430    1.833    0.524 
172   2.519    0.430    2.356    0.524 
173   2.519    0.430    2.880    0.524 
174   2.519    0.430    3.403    0.524 
175   2.519    0.430    3.927    0.524 
176   2.519    0.430    4.451    0.524 
177   2.519    0.430    4.974    0.524 
178   2.519    0.430    5.498    0.524 
179   2.519    0.430    6.021    0.524 
180   2.730    0.418    0.393    0.785 
181   2.730    0.418    1.178    0.785 
182   2.730    0.418    1.963    0.785 
183   2.730    0.418    2.749    0.785 
184   2.730    0.418    3.534    0.785 
185   2.730    0.418    4.320    0.785 
186   2.730    0.418    5.105    0.785 
187   2.730    0.418    5.890    0.785 
188   2.937    0.411    0.785    1.571 
189   2.937    0.411    2.356    1.571 
190   2.937    0.411    3.927    1.571 
191   2.937    0.411    5.498    1.571 
